Date,Close/Last,Volume,Open,High,Low
02/16/2024,22.03,595785,21.95,22.08,21.9365
02/15/2024,21.98,791236,21.95,22.09,21.95
02/14/2024,21.93,695996,22.17,22.24,21.895
02/13/2024,22.14,1222159,22.20,22.25,22.115
02/12/2024,22.27,569000,22.22,22.30,22.205
02/09/2024,22.26,601661,22.24,22.345,22.19
02/08/2024,22.20,1125136,22.09,22.25,22.09
02/07/2024,22.08,809978,21.97,22.09,21.97
02/06/2024,21.98,790951,21.95,22.045,21.91
02/05/2024,21.90,838049,21.79,21.92,21.70
02/02/2024,21.81,1235545,21.84,21.92,21.78
02/01/2024,22.06,2388453,22.32,22.40,22.005
01/31/2024,22.33,1305280,22.52,22.56,22.31
01/30/2024,22.57,941230,22.42,22.60,22.35
01/29/2024,22.42,1579327,22.50,22.50,22.33
01/26/2024,22.61,517756,22.41,22.61,22.28
01/25/2024,22.51,1600526,22.46,22.53,22.3799
01/24/2024,22.34,866787,22.29,22.39,22.1883
01/23/2024,22.15,442428,22.05,22.205,22.05
01/22/2024,22.03,575949,21.89,22.1199,21.86
01/19/2024,21.94,559903,22.06,22.13,21.89
01/18/2024,21.98,408288,21.84,22.02,21.77
01/17/2024,21.84,570736,21.73,21.86,21.71
01/16/2024,21.87,708990,22.16,22.16,21.87
01/12/2024,22.06,673736,22.30,22.37,21.965
01/11/2024,21.98,1491138,22.07,22.135,21.925
01/10/2024,21.82,753959,22.08,22.095,21.79
01/09/2024,21.97,736283,21.96,22.0699,21.85
01/08/2024,21.81,761036,21.70,21.84,21.615
01/05/2024,22.13,800829,22.14,22.23,22.06
01/04/2024,22.02,733998,22.10,22.12,21.865
01/03/2024,22.14,857673,21.99,22.1699,21.955
01/02/2024,21.86,2421648,22.14,22.155,21.82
12/29/2023,22.04,1781217,22.20,22.22,22.01
12/28/2023,22.16,1145228,22.30,22.42,22.145
12/27/2023,22.35,1372600,22.49,22.565,22.35
12/26/2023,22.45,1252199,22.21,22.56,22.19
12/22/2023,22.23,1397788,22.39,22.44,22.215
12/21/2023,22.27,1352706,22.17,22.28,22.165
12/20/2023,22.23,1439122,22.56,22.57,22.23
12/19/2023,22.49,1829574,22.27,22.50,22.265
12/18/2023,22.32,1844179,22.44,22.55,22.2501
12/15/2023,23.25,1734520,23.21,23.355,23.105
12/14/2023,23.21,1872172,23.12,23.23,23.10
12/13/2023,22.83,1613666,22.60,22.83,22.57
12/12/2023,22.57,1983251,22.67,22.7066,22.542
12/11/2023,22.92,3260722,22.86,22.94,22.76
12/08/2023,23.00,1366110,23.04,23.12,22.93
12/07/2023,22.90,1502182,22.97,22.98,22.8031
12/06/2023,22.86,1914032,23.22,23.26,22.85
12/05/2023,23.43,1557661,23.64,23.75,23.41
12/04/2023,23.64,5278434,23.62,23.80,23.51
12/01/2023,23.80,1399850,23.95,24.20,23.755
11/30/2023,23.91,1769733,24.40,24.515,23.88
11/29/2023,24.32,972151,24.24,24.38,24.00
11/28/2023,24.15,1112782,23.98,24.23,23.93
11/27/2023,23.86,1032465,23.94,24.04,23.81
11/24/2023,24.02,391347,24.11,24.23,24.02
11/22/2023,24.18,850626,23.84,24.2033,23.75
11/21/2023,24.39,642510,24.27,24.3973,24.21
11/20/2023,24.25,777559,24.16,24.325,24.14
11/17/2023,23.95,1241209,23.72,23.99,23.71
11/16/2023,23.61,3465622,23.89,23.905,23.555
11/15/2023,24.19,1314518,24.20,24.36,24.18
11/14/2023,24.35,1573139,24.44,24.5801,24.29
11/13/2023,24.39,913196,24.02,24.40,24.02
11/10/2023,24.04,874992,24.01,24.10,23.97
11/09/2023,23.92,1254329,23.99,24.17,23.91
11/08/2023,23.98,1269111,24.15,24.2501,23.88
11/07/2023,24.25,1861587,24.41,24.44,24.20
11/06/2023,24.78,1210888,24.88,24.92,24.76
11/03/2023,24.68,1407123,24.69,24.879,24.61
11/02/2023,24.81,1936054,24.55,24.82,24.55
11/01/2023,24.55,2495686,24.75,24.82,24.4535
10/31/2023,24.51,2199525,24.61,24.78,24.435
10/30/2023,24.60,975874,24.82,24.89,24.51
10/27/2023,25.00,1051407,24.82,25.03,24.69
10/26/2023,24.67,1862619,24.66,24.8015,24.6132
10/25/2023,24.88,2212007,24.78,24.935,24.46
10/24/2023,24.70,1119688,24.84,24.85,24.59
10/23/2023,24.97,1179500,25.09,25.15,24.91
10/20/2023,25.13,1243362,25.27,25.40,25.10
10/19/2023,25.32,937434,24.96,25.32,24.90
10/18/2023,25.06,1110142,25.02,25.14,24.98
10/17/2023,24.84,921912,24.72,24.85,24.63
10/16/2023,24.77,820404,24.80,24.83,24.6835
10/13/2023,24.85,953991,24.63,24.8612,24.58
10/12/2023,24.21,979272,24.32,24.39,24.09
10/11/2023,24.22,2163265,24.27,24.325,24.07
10/10/2023,24.36,1359525,24.38,24.405,24.23
10/09/2023,24.42,2702799,24.26,24.42,24.19
10/06/2023,23.92,2218461,23.98,23.99,23.78
10/05/2023,23.83,2068089,23.77,23.92,23.6921
10/04/2023,23.97,1225524,24.38,24.38,23.8919
10/03/2023,24.66,2574045,24.71,24.7384,24.58
10/02/2023,24.77,3616068,24.97,25.02,24.7294
09/29/2023,24.96,2044188,25.30,25.325,24.92
09/28/2023,25.23,865536,25.28,25.3599,25.18
09/27/2023,25.26,944201,25.28,25.35,25.25
09/26/2023,25.12,986315,25.03,25.14,25.01
09/25/2023,25.15,639969,25.19,25.19,25.00
09/22/2023,25.27,727683,25.39,25.4488,25.18
09/21/2023,25.25,1172649,25.39,25.42,25.24
09/20/2023,25.33,663653,25.40,25.585,25.32
09/19/2023,25.54,845216,25.58,25.62,25.46
09/18/2023,25.52,868148,25.60,25.63,25.445
09/15/2023,25.53,573292,25.50,25.60,25.47
09/14/2023,25.59,679565,25.55,25.63,25.505
09/13/2023,25.38,813823,25.35,25.43,25.28
09/12/2023,25.30,1075050,25.29,25.38,25.26
09/11/2023,25.21,553946,25.25,25.3001,25.15
09/08/2023,25.06,611551,25.02,25.12,24.9709
09/07/2023,25.01,388846,24.99,25.0574,24.94
09/06/2023,25.06,843843,24.96,25.09,24.90
09/05/2023,25.00,1039207,25.04,25.155,24.957
09/01/2023,24.88,1716114,24.84,24.90,24.75
08/31/2023,24.59,1197702,24.59,24.6509,24.4701
08/30/2023,24.49,527327,24.58,24.645,24.46
08/29/2023,24.46,417609,24.37,24.50,24.295
08/28/2023,24.37,590242,24.43,24.50,24.3123
08/25/2023,24.41,793791,24.33,24.45,24.14
08/24/2023,24.17,599547,24.04,24.22,23.99
08/23/2023,24.15,910667,24.00,24.25,23.95
08/22/2023,24.10,623521,24.19,24.215,24.06
08/21/2023,24.09,507852,24.30,24.30,24.08
08/18/2023,24.15,601838,24.04,24.195,24.025
08/17/2023,23.98,857520,24.16,24.18,23.97
08/16/2023,23.92,2205453,24.09,24.18,23.89
08/15/2023,24.02,3808701,24.17,24.23,23.9713
08/14/2023,24.31,697677,24.27,24.38,24.20
08/11/2023,24.43,566265,24.42,24.57,24.40
08/10/2023,24.47,576569,24.56,24.627,24.43
08/09/2023,24.60,671880,24.55,24.66,24.47
08/08/2023,24.43,993605,24.14,24.485,24.04
