Date,Close/Last,Volume,Open,High,Low
02/16/2024,92.76,33116770,92.48,92.845,92.34
02/15/2024,93.30,49598490,93.56,93.72,93.00
02/14/2024,92.82,44191550,92.30,93.05,92.23
02/13/2024,92.35,49768460,92.86,93.059,92.33
02/12/2024,93.96,27890270,93.90,94.14,93.5001
02/09/2024,93.85,27951310,93.76,94.01,93.6618
02/08/2024,94.04,50087690,94.02,94.30,93.655
02/07/2024,94.59,40120220,94.57,95.23,94.52
02/06/2024,95.05,33411470,94.24,95.15,94.211
02/05/2024,94.13,53827360,94.63,94.85,94.02
02/02/2024,96.07,63823250,96.27,96.62,95.69
02/01/2024,98.24,84291220,97.42,98.67,97.19
01/31/2024,96.66,80646720,96.22,96.91,96.00
01/30/2024,95.72,40151420,95.48,95.84,94.74
01/29/2024,94.86,38243550,94.31,95.165,94.12
01/26/2024,93.78,29276870,93.93,94.07,93.485
01/25/2024,93.96,57019410,94.00,94.216,93.57
01/24/2024,93.35,54574910,94.51,94.54,93.10
01/23/2024,93.90,35786750,93.89,93.99,93.4299
01/22/2024,94.65,35756420,94.82,95.08,94.39
01/19/2024,94.09,47030910,93.71,94.165,93.26
01/18/2024,93.79,77339060,94.46,94.58,93.51
01/17/2024,94.67,55506810,94.60,95.00,94.16
01/16/2024,94.82,61716700,95.62,95.79,94.51
01/12/2024,96.52,38883930,96.78,97.27,96.27
01/11/2024,96.71,78858910,96.17,96.83,95.71
01/10/2024,96.17,48227800,96.92,97.045,96.121
01/09/2024,96.62,34373950,96.64,97.165,96.585
01/08/2024,97.24,39485850,96.23,97.38,96.09
01/05/2024,96.29,45894800,96.50,97.68,96.21
01/04/2024,97.22,52604510,97.42,97.64,97.065
01/03/2024,98.72,58159500,97.38,98.85,97.15
01/02/2024,98.31,47797430,98.229,98.65,98.00
12/29/2023,98.88,41616190,99.13,99.815,98.795
12/28/2023,99.78,36212990,100.09,100.57,99.56
12/27/2023,100.51,45082810,99.78,100.53,99.50
12/26/2023,98.76,24019750,98.54,98.87,98.48
12/22/2023,98.475,29244250,99.38,99.38,98.24
12/21/2023,98.93,65231180,99.74,99.84,98.75
12/20/2023,99.56,51229380,99.11,99.69,98.58
