Date,Close/Last,Volume,Open,High,Low
02/16/2024,48.06,9886834,48.02,48.2765,47.91
02/15/2024,48.02,9979803,47.69,48.03,47.68
02/14/2024,47.49,10455660,47.25,47.4956,47.21
02/13/2024,46.91,19980910,47.19,47.22,46.72
02/12/2024,47.76,8597979,47.63,47.9198,47.61
02/09/2024,47.64,11255030,47.48,47.6601,47.3701
02/08/2024,47.47,10014080,47.46,47.49,47.2943
02/07/2024,47.55,8819302,47.54,47.625,47.445
02/06/2024,47.52,12103760,47.23,47.53,47.20
02/05/2024,47.23,13406260,47.25,47.33,46.99
02/02/2024,47.54,11569740,47.55,47.59,47.31
02/01/2024,47.88,12761160,47.54,47.89,47.435
01/31/2024,47.38,14542960,47.84,47.978,47.31
01/30/2024,47.65,8228501,47.62,47.69,47.44
01/29/2024,47.71,9572084,47.40,47.76,47.34
01/26/2024,47.43,8717142,47.46,47.53,47.36
01/25/2024,47.23,13899340,47.22,47.25,47.0038
01/24/2024,47.11,11566380,47.41,47.43,47.09
01/23/2024,46.82,8069895,46.72,46.845,46.60
01/22/2024,46.90,11607630,46.90,47.05,46.8146
01/19/2024,46.78,9933022,46.52,46.79,46.355
01/18/2024,46.63,9243799,46.41,46.64,46.325
01/17/2024,46.21,10354640,46.08,46.23,45.91
01/16/2024,46.72,14475640,46.96,47.00,46.62
01/12/2024,47.57,7138474,47.72,47.865,47.48
01/11/2024,47.40,12648410,47.52,47.58,46.955
01/10/2024,47.45,10542950,47.36,47.51,47.2943
01/09/2024,47.19,13219460,47.23,47.3099,47.11
01/08/2024,47.62,8156649,47.20,47.635,47.15
01/05/2024,47.13,9963110,47.04,47.55,46.9986
01/04/2024,47.10,14931860,46.98,47.3299,46.97
01/03/2024,46.99,12564080,46.90,47.145,46.7652
01/02/2024,47.37,17117310,47.44,47.61,47.32
12/29/2023,47.90,10489630,47.94,48.08,47.8048
12/28/2023,47.91,11909280,48.06,48.16,47.8848
12/27/2023,47.99,9921245,47.81,48.03,47.765
12/26/2023,47.72,7301804,47.55,47.785,47.40
12/22/2023,47.51,12007580,47.50,47.63,47.345
12/21/2023,47.40,13337750,47.18,47.40,47.06
12/20/2023,46.61,15780030,47.14,47.26,46.5942
12/19/2023,47.10,9253478,46.99,47.12,46.91
12/18/2023,46.65,10386250,46.73,46.745,46.53
12/15/2023,47.10,18248250,47.40,47.4599,47.10
12/14/2023,47.59,16856860,47.46,47.77,47.41
12/13/2023,47.18,12136140,46.43,47.20,46.23
12/12/2023,46.43,11187180,46.33,46.44,46.15
12/11/2023,46.42,13939270,46.28,46.44,46.2012
12/08/2023,46.29,9501365,46.06,46.38,46.0401
12/07/2023,46.18,17301100,46.09,46.32,45.8901
12/06/2023,45.96,9458756,46.31,46.39,45.96
12/05/2023,45.87,9365641,45.90,46.04,45.79
12/04/2023,46.02,10810060,45.97,46.17,45.8837
12/01/2023,46.43,14005830,45.90,46.45,45.86
11/30/2023,45.96,9636854,45.98,46.025,45.755
11/29/2023,45.98,9916748,45.99,46.15,45.85
11/28/2023,45.87,8909071,45.72,46.0098,45.65
11/27/2023,45.79,10489870,45.78,45.8355,45.67
11/24/2023,45.91,4556005,45.72,45.92,45.72
11/22/2023,45.61,8971637,45.56,45.625,45.365
11/21/2023,45.52,7205710,45.71,45.73,45.46
11/20/2023,45.70,9554662,45.48,45.77,45.4701
11/17/2023,45.50,6926547,45.32,45.52,45.26
11/16/2023,44.94,9361244,44.92,45.1175,44.805
11/15/2023,45.04,17284850,45.11,45.265,45.00
11/14/2023,45.08,13479010,44.65,45.14,44.65
11/13/2023,43.89,7893844,43.61,43.97,43.55
11/10/2023,43.83,7520812,43.60,43.85,43.295
11/09/2023,43.60,12652010,43.98,44.10,43.59
11/08/2023,43.62,10982120,43.66,43.805,43.475
11/07/2023,43.72,10388690,43.69,43.8175,43.57
11/06/2023,44.05,10769510,44.33,44.33,43.95
11/03/2023,44.19,12317010,44.05,44.32,44.04
11/02/2023,43.63,11560800,43.43,43.64,43.322
11/01/2023,42.67,13871910,42.36,42.69,42.255
10/31/2023,42.24,13692150,42.17,42.2938,42.03
10/30/2023,42.15,14858800,42.05,42.1694,41.87
10/27/2023,41.58,13817420,42.00,42.015,41.48
10/26/2023,41.71,16777010,41.90,41.99,41.58
10/25/2023,42.02,12721330,42.21,42.36,41.98
10/24/2023,42.39,9538611,42.27,42.445,42.1701
10/23/2023,42.18,14594550,41.98,42.4599,41.815
10/20/2023,42.16,12890390,42.40,42.5056,42.14
10/19/2023,42.56,17765550,42.79,43.02,42.48
10/18/2023,42.91,10263490,43.30,43.345,42.85
10/17/2023,43.65,15063670,43.26,43.85,43.24
10/16/2023,43.64,12284070,43.39,43.675,43.32
10/13/2023,43.30,10924320,43.56,43.68,43.1929
10/12/2023,43.69,9696107,44.17,44.17,43.51
10/11/2023,44.07,8211225,44.13,44.1907,43.8219
10/10/2023,43.88,14448550,43.75,44.045,43.70
10/09/2023,43.33,9131688,42.97,43.38,42.945
10/06/2023,43.36,11812890,42.81,43.46,42.535
10/05/2023,42.91,12624640,42.75,42.95,42.6141
10/04/2023,42.52,14106140,42.57,42.5848,42.17
10/03/2023,42.50,16168240,42.65,42.76,42.33
10/02/2023,43.04,16236190,43.45,43.47,42.91
09/29/2023,43.72,16047810,44.27,44.27,43.62
09/28/2023,43.86,13567430,43.55,43.9899,43.4801
09/27/2023,43.50,12446120,43.77,43.795,43.22
09/26/2023,43.60,13497170,43.86,43.98,43.5648
09/25/2023,44.23,11703930,44.07,44.26,43.955
09/22/2023,44.40,11652760,44.62,44.755,44.35
09/21/2023,44.35,11630840,44.66,44.75,44.34
09/20/2023,45.10,11025080,45.44,45.66,45.08
09/19/2023,45.25,9230411,45.33,45.41,45.13
09/18/2023,45.24,7494892,45.25,45.305,45.075
09/15/2023,45.72,9970217,45.90,46.035,45.675
09/14/2023,45.82,7694272,45.58,45.85,45.544
09/13/2023,45.21,6672063,45.25,45.365,45.12
09/12/2023,45.30,8404760,45.25,45.465,45.21
09/11/2023,45.50,6083267,45.41,45.53,45.27
09/08/2023,44.99,9009002,45.02,45.1652,44.95
09/07/2023,45.05,10296350,45.095,45.19,44.94
09/06/2023,45.23,8972259,45.36,45.4661,45.085
09/05/2023,45.41,9567839,45.69,45.695,45.41
09/01/2023,45.82,8335640,46.17,46.21,45.69
08/31/2023,45.75,9141780,45.95,45.9617,45.61
08/30/2023,45.90,10957410,45.95,46.095,45.81
08/29/2023,45.91,8886755,45.22,45.92,45.17
08/28/2023,45.33,7763425,45.16,45.356,45.12
08/25/2023,44.86,10748180,44.87,45.03,44.465
08/24/2023,44.58,10026660,44.98,45.1099,44.56
08/23/2023,45.15,10161690,44.89,45.2398,44.8399
08/22/2023,44.67,10252430,44.96,44.975,44.63
08/21/2023,44.77,10914290,44.73,44.82,44.5099
08/18/2023,44.63,11576400,44.30,44.70,44.2733
08/17/2023,44.63,10996450,45.11,45.15,44.575
08/16/2023,44.93,8465200,45.14,45.34,44.93
08/15/2023,45.29,7750624,45.65,45.655,45.23
08/14/2023,45.93,7069961,45.69,45.9564,45.55
08/11/2023,46.12,7614255,46.09,46.28,46.01
08/10/2023,46.38,8764837,46.68,46.945,46.33
08/09/2023,46.24,8666406,46.31,46.42,46.14
08/08/2023,46.20,9403510,46.00,46.25,45.85
08/07/2023,46.55,8267010,46.47,46.56,46.27
08/04/2023,46.18,9944601,46.26,46.66,46.13
08/03/2023,46.05,14960980,45.86,46.19,45.83
08/02/2023,46.19,15395740,46.52,46.565,46.14
08/01/2023,47.10,8345457,47.23,47.345,47.00
07/31/2023,47.63,7654460,47.66,47.81,47.61
07/28/2023,47.63,7776976,47.60,47.7816,47.50
07/27/2023,47.24,7943373,47.77,47.77,47.205
07/26/2023,47.44,11708860,47.10,47.589,47.10
07/25/2023,47.38,5737558,47.20,47.4399,47.20
07/24/2023,47.24,6201932,47.20,47.37,47.15
07/21/2023,47.29,10494720,47.32,47.35,47.1641
07/20/2023,47.23,12248840,47.40,47.4995,47.155
07/19/2023,47.51,7538271,47.55,47.637,47.385
07/18/2023,47.52,6485244,47.25,47.55,47.208
07/17/2023,47.18,6808720,47.02,47.24,46.94
07/14/2023,47.20,7349784,47.46,47.485,47.17
07/13/2023,47.49,7276680,47.30,47.54,47.28
07/12/2023,46.77,10422190,46.50,46.80,46.43
07/11/2023,45.89,7134679,45.66,45.90,45.56
07/10/2023,45.45,7842715,45.24,45.47,45.22
07/07/2023,45.33,8873687,45.03,45.54,45.00
07/06/2023,44.95,8980763,45.12,45.13,44.71
07/05/2023,45.76,12565860,45.92,45.95,45.6937
07/03/2023,46.26,6362626,46.22,46.325,46.18
06/30/2023,46.18,8137109,46.05,46.22,45.99
06/29/2023,45.64,6635417,45.47,45.64,45.44
06/28/2023,45.70,7297950,45.62,45.7699,45.54
06/27/2023,45.69,7898397,45.43,45.71,45.29
06/26/2023,45.32,9830221,45.25,45.41,45.22
